category,confidence,reason,description
Уборка уличная,0.9,Жалоба на сброс снега с соседнего дома,у меня ничего соседний дом снег во валют на нашу территорию тридцать а дом тридцать а валит снег на нашу территорию
Электроснабжение,0.6,"Упоминание выключателя, вероятно, связано с электричеством","мне нужно посмотреть выключатель
больше ничего"
НЕЯСНО,0.95,"Нет описания проблемы, только отрицание",да ничего не случилось
Крыша,0.9,Житель сообщает о протечке потолка,у нас у меня потек потолок
Засор водоотведения,0.9,Просьба прочистить стояк на кухне,надо прочистить стоять на кухне
НЕЯСНО,0.3,"Фраза неполная, нет сути обращения","нормально
с четверга в квартире"
Электроснабжение,0.95,Сломан выключатель света в подъезде,"у нас в первом подъезде
да вандалы сломали кнопку включения выключения света в подъезде"
Электроснабжение,0.3,"Упоминание отключения, но неясно чего",просто мне сказали что у нас отключат
Уборка уличная,0.95,просьба убрать снег во дворе,во дворе почистить снег машины не выезжают
Электроснабжение,0.95,Отсутствие напряжения в доме со столба,Нету напряжения в дом со столба
НЕЯСНО,0.1,Текст не содержит информации о проблеме,нет это премия которая
Иное,0.9,Житель сообщает о заливе соседей,у нас я затапливаю соседку
Электроснабжение,0.95,Житель сообщает о неработающих электроприборах,"ну че то вдруг меня стали азерота вот нет
это вернее не могу не работает ни телевизор ни это не могу это включаю в розетку а он мне не работает
Колесико Веры Города Пожалуйста Пошлите То Мне Я Не Могу Без Розеты"
Отопление,0.95,Житель сообщает об отсутствии тепла,"у нас нет тепла как всегда
Адрес Не Телефон Неправильно Вы Записали Восемь Девятьсот Четыре Пять Восемь Тридцать Шесть Девяносто Два"
Отопление,0.95,Житель сообщает об отсутствии тепла,до сих пор тепла нет в доме
Иное,0.95,Передача показаний счетчика не относится к аварийным заявкам,мне нужно передать показания счетчика
НЕЯСНО,0.3,Не указан объект поломки и контекст,"сломался
сломался автоматически включать или на электроплиту"
НЕЯСНО,0.1,"Нет описания проблемы, только просьба",Соедините меня с диспетчером
Водоснабжение,0.9,Упоминание отсутствия воды в целом,ваде нету со вчерашнего вечера нету
Водоснабжение,0.9,"Не работает водоразборная колонка, замерзла",у нас случилось на нашем районе не работает колонка пять дней уже замерзшая а вот это надо
Ремонт,0.6,"Просьба о вызове техника, без уточнения",мне нужно сделать заявку на техника
Иное,0.9,"Просьба соединить с юристом, не ЖКХ",я хочу с юристом переговорить
Иное,0.7,"Жалоба на шум моторов, не связана с ЖКХ",проводы отключите пожалуйста под квартиры включено все гром стоит пусть выключат на улицу прямо через подъезды невозможно дышать нечем эти моторы включенные моторы
Уборка уличная,0.95,"Житель просит вывезти мусор с чердака, сброшенный во двор.",у нас очистили чердак весь мусор с чердака спустили во двор две огромные кучи и вот теперь дождем поливает ждем когда снегом завалит хотела бы чтобы вы вывезли этот весь мусор
Электроснабжение,0.7,"Вероятно, речь об отсутствии света",Нет подъезд комнате вчерашнего дня
Уборка внутренняя,0.95,Жалоба на уборку подъезда,у нас не моется подъезд уже полтора месяца
Уборка внутренняя,0.95,"Просьба о мытье подъездов, внутренняя уборка",нужна уборщица для мытья подъездов.
Иное,0.9,Просьба отменить заявку без уточнения темы,"отмените мою заявку
женщина упертая я буду звонить пока вы мою заявку не отмените"
Водоснабжение,0.7,"Упоминание насоса, вероятно, водоснабжения","хочу чтоб посмотрели насос
хотелось бы в кратчайшие сроки чтобы устранили эту неполадку"
Электроснабжение,0.9,Упоминание отсутствия света на этаже,где то света на этаже
Водоснабжение,0.6,"Возможна протечка воды, неясно какая","затопило кухню
сейчас"
Иное,0.8,"Сырость и протечка стены, не связанная с инженерными системами",у нас в подъезде не в подъезде на коридоре возле щитка сыра вся стена сырая это на втором этаже на третий тоже там что тут на четвертом это на третьем этаже а на четвертом там и оттуда откуда то течет но у людей у всех сухо
Отопление,0.95,Настройка температуры теплоснабжения относится к отоплению,настроить температуру теплоснабжения
Отопление,0.7,Пар из подвала может указывать на утечку теплоносителя,идет парк с подвала возле первого подъезда
Иное,0.95,"Вопрос о стоимости квартплаты, не относится к аварийным службам",здравствуйте мне нужно поговорить узнать о стоимости квартплаты
Иное,0.9,"Вопрос о плате за доступ и техосмотре, не связан с ЖКХ","так хочу вот мне пришло давно уведомление до пятнадцатого сентября нужно было уплатить за доступ
да нужно я хочу узнать у меня ведь пройден этот осмотр технический или нет но приходили ко мне двое мужчины"
НЕЯСНО,0.9,Вопрос не содержит сути заявки,что хорошо я спрашиваю вы записали номер телефона
Отопление,0.9,Упоминание подключения парового отопления,я просто звоню по поводу когда подключать будут паровое в нашем в наш дом в наш подъезд потому что я пришла с дачи вот и мне надо чтобы это самое уже подключили
Уборка уличная,0.95,Просьба расчистить снег возле подъезда,надо расчистить снег возле подъезда скажи
НЕЯСНО,0.95,"Заявка не озвучена, суть обращения неизвестна",соедини с диспетчером заявка не озвучена
ГВС,0.9,Полотенцесушитель обычно работает от горячей воды,в данной комнате не греют полотенце сушитель
Иное,0.6,"Нет конкретной проблемы, только жалоба на ожидание",а чем целый одиннадцать жду жду ничего
Крыша,0.9,Течь с балкона указывает на проблему с крышей,Течёт балкон надо это всё зафиксировать
Крыша,0.95,"Течь потолка с крыши, указан этаж",у нас течёт потолок с крышей пятый этаж
Отопление,0.95,жалоба на негреющие батареи в комнатах,"девушка у нас бодрее не греет одна в кварианкой комнате одна где то вторая не греет
больше ничего пускай приходит делают"
Иное,0.7,"Открытый люк на улице, не связан с ЖКХ","я ходила по улице и в нашем районе нашла открытый люк 
 
между терминалом находится и между двадцать седьмым домом он находится там где ставят машины другой дом там положено или квадратный коричневый поролоновый этот самый"
Уборка уличная,0.9,"Просьба почистить двор, уборка территории","нужно почистить двор
я заказывал чистку еще вчера на сегодня"
Отопление,0.85,"Упоминание выпуска воздуха, перекрыто, авария, вероятно, отопление",вот в большой комнатной та первого этажа приходили товарищи я воздух вроде выпускала и не получал там где то перекрыто это завтра это аварии да подожди мол
НЕЯСНО,0.6,Нет конкретной информации о проблеме,"не работает
а вы че уже записали ладно"
Крыша,0.95,Протечка с крыши на пятом этаже,пятый этаж бежит с крыши потолок протекает по стенам и посередине комнаты
НЕЯСНО,0.9,Просьба соединить с диспетчером без указания проблемы,"на диспетчера переключите
с диспетчером соедините"
Уборка уличная,0.9,"Вопрос про чистку дворов, относится к уборке",кто отвечает за чистку дворов
Отопление,0.95,Житель сообщает об отсутствии тепла,У меня нет тепла в доме уже дали тепло всегда надо ремонт что-то там продувает где-то что-то пропускать
Водоотведение,0.9,"Открытый люк канализации, угроза провала",провалился канализационный люк внутрь открыт люк полностью
Отопление,0.9,Житель жалуется на холодные батареи,тайки в квартире очень холодные то есть они два теплые
Крыша,0.95,Житель просит убрать снег с крыши,хочу составить заявку по уборке снега с крыши вот последний этаж нас беспокоит этот вопрос
Уборка уличная,0.95,Житель сообщает о нечищенном дворе,не чищен двор между домами герцена сто двенадцать герцена сто десять
Иное,0.7,"Просьба покрыть крышу сарая углем, не аварийная",да хочу я живу по улице советской сто двадцать семь квартира пять я смотрю тут соседям крышу покрывают может быть у них останется у бюро ди заодно мне уголь на сарайку покроют потому что нам сказали что долго там еще тут жить и надо это заказ
Электроснабжение,0.95,Житель сообщает о перегоревшей лампе в подъезде,у нас свет нам бы нам свет у нас это в подъезде на первом этаже перегорела лампу темно очень
Электроснабжение,0.9,Замена розеток относится к электрике,розетки надо две поменять я уже деньги оплатила в платных услугах
НЕЯСНО,0.3,"Нет конкретной проблемы, просьба перезвонить","принять заявку
чтобы срочно оператор перезвонил"
ГВС,0.95,Просьба перекрыть вентиль на горячую воду,перекрыть вх.вентиль на горячую воду ждет в первой половине дня 15.07.25
Отопление,0.95,Житель сообщает об отсутствии тепла и холодном стояке,у нас нет до сих пор тепла в соседних квартирах появилось у нас нету весь стояк холодный
ХВС,0.95,Житель жалуется на низкое давление холодной воды,нет напора хол.воды ??..у нас меняли стояк с седьмого числа но давление у меня не поднялось у нас по секции полностью в пяти квартирах меняют стоят вот и я на пятом этаже живу так вот мне надо чтобы ну там мастер сказал что вроде бы
Отопление,0.9,Упоминание 'нет тепла' указывает на проблему с отоплением,"нет тепла но похоже дом шесть на военно осадном положении
а вот я не знаю мы наверное с вами уже скоро будем братьями и сестрами извините каждый день даю вам заявки"
ГВС,0.95,Запрос на передачу показаний горячей воды,мне надо передать показания по горячей воде
НЕЯСНО,0.9,"Нет конкретной проблемы, просьба перезвонить",пускай перезвонят звонили
Отопление,0.95,Течь батареи относится к системе отопления,"кв. 76 течь батареи пластина 
конечно как можно быстрее чтобы приехали"
Отопление,0.9,Просьба измерить температуру в комнате,измерить температуру в угловой комнате
Отопление,0.9,Упоминание отсутствия тепла в доме,а ничего не случилось просто ремонтные работы на трассе завершились или нет ремонте тепла нету в доме ремонт на трассе делает идет когда он закончится
Иное,0.95,"Запрос реквизитов, не связан с аварией",хочу узнать реквизиты управляющей компании
Отопление,0.95,Вопрос о тепле в комнате,когда будет тепло в большой комнате
Отопление,0.95,Упоминание отсутствия отопления и поиска тепла,"Отопление такси нету Ищу
Макеев Валерий Анатольевич Бумажников 14 корпус 2 квартира 40"
Отопление,1.0,Житель сообщает об отсутствии тепла,В квартире нет тепла
Водоснабжение,0.8,Разморозка колонки связана с подачей воды,разморозить колонку на малоэтажке
НЕЯСНО,0.95,"Нет конкретной проблемы, просьба отменить заказ",ничего не случилось надо отменить заказ двенадцать шестьсот то есть шестнадцать двести
Ремонт,0.85,Житель сообщает о сыпящейся штукатурке и пятне на стене,а знаете у нас вот я живу на четвертом этаже на пятом со стороны коридора со стороны лестницы на стене такое вот даже дожди не было а пятно такое и сыпется штукатурка даже или наверху там или что не понятно она легко там мы не знаем там какие то въехать все или не ехали там квартира пустовала
Отопление,0.95,Житель сообщает об отсутствии тепла в доме,"у нас нет тепла сказали что наш дом подключили еще четвертого числа сегодня уже седьмое тепла нет
первом подъезде нет у нас тепла говорю"
Электроснабжение,0.95,Проблема с предохранителем в розетке,выбило предохранитель на розетке
Отопление,0.95,Житель сообщает об отсутствии тепла,у нас нет тепла до сих пор в думе
НЕЯСНО,0.3,Не указана суть проблемы,у нас на площадке на на втором этаже
Иное,0.9,"Житель запрашивает диспетчера, а не проблему",у меня заявка уже есть сорок два триста девятнадцать я хочу диспетчера услышать
Иное,0.6,"Фраза неясна, возможно, речь о затоплении",отсутствуют затопление в квартире
Иное,0.9,Вопрос не относится к ЖКХ услугам,я хочу узнать куда мне обратиться чтобы сообщить о смерти проживающего
НЕЯСНО,0.9,"Нет конкретной проблемы, только уточнение",не знаем вот хотели бы уточнить
Засор водоотведения,0.95,Упоминание засора и ванны,засор вас засор стойко ван
Иное,0.9,"Просьба отменить заявку, не связана с ЖКХ","отменить заявку
отменить заявку"
Отопление,0.7,"Упоминание проблемы в одной комнате, вероятно, батарея",а у нас только в одной комнате крет
Иное,0.7,"Пар из подвала, не относится к инженерным системам",у меня ничего не случилось в подъезде это самое парит все сыра из подвала идет пар
Водоснабжение,0.8,"Протечка после замены водосчетчика, связана с водой",некачественно оказанной услуги поменян водосчетчик после после которого обнаружилась протечка протечка к соседям в нижнюю квартиру то есть нужен кроме устранения
Отопление,0.9,"Упоминание холодных стояков, вероятно, батарей отопления","холодной стояк на кухне и в гостиной комнате 
 
холодные стояки на кухне в гостиной комнате"
Электроснабжение,0.9,"Наклон уличного фонаря, угроза падения",у нас уличные железный фонарь около третьего подъезда очень сильно наклонившись и скорее всего он упадёт надо посмотреть что то ним делать
Отопление,0.95,Житель сообщает об отсутствии тепла,я звоню от жильцов дома о том что у нас нету тепла сегодня двадцать девятое число уже ой двадцать восьмое то есть
Засор водоотведения,0.9,Протечка бачка унитаза относится к водоотведению,протекает  с бочка туалета
НЕЯСНО,0.3,Текст не позволяет определить суть проблемы,Аппарат подключён Прямо в квартиру у Никитиной с новым и надо снять потому что уже 5 месяцев гудят я не дочь
Отопление,0.95,Упоминание отсутствия тепла в квартире,частично отсутствует тепло в квартире
Электроснабжение,0.95,Отсутствие света во всем доме,отсутствует света во всем доме
НЕЯСНО,0.1,Текст не содержит информации о проблеме,"дичь 
 пожилая женщина ей бы желательно сегодня"
Иное,0.6,Жалоба на невыполнение работ без уточнения темы,"у меня не выполнили работы я две недели жду наверное я опять буду звонить начальству
я уже добавила я наверное выйду опять на начальство там мастера уже сняли начальника участка мастера передвинули"
Засор водоотведения,0.8,"Упоминание забитого стояка, вероятно канализации","я вчера заказывал
там стояк задетый забитый вес"
Отопление,0.95,Житель сообщает об отсутствии тепла в стояке,по всему стояку у нас тепла нету дом уже к теплу подключен а тепла нету мы замерзаем совсем тут
Домофоны,0.9,Упоминание электронного замка в подъезде,"надо починить электронный замок
в семнадцатом подъезде нет ниче не хочу дай мне оператора
Зачем Вам Фамилия Оператора Я Поговорю С Оператором"
Электроснабжение,0.95,Взрыв в щитке указывает на проблему с электричеством,Взрыв в щитке Вы долго будете писать или уже пожарную надо звать
Отопление,1.0,Житель сообщает об отсутствии тепла,"нет тепла в квартире
хочу хочу чтобы было тепло"
НЕЯСНО,0.9,"Нет описания проблемы, только просьба соединить","соедините с диспетчером
соедините с диспетчером"
Иное,0.6,Просьба о машине без уточнения проблемы,"нужна ас машина
уточнить почему машина до сих пор не приехала"
Ремонт,0.7,"Упоминание несущей стены, вероятно, требуется ремонт",стена которые несущие между подъездами
Отопление,0.95,Упоминание отопительной системы и отсутствия подключения,нет подключения к отопительной системе
Водоотведение,0.8,Запах канализации в подъезде и квартире,Запах неприятный в подъезде и в квартире
НЕЯСНО,0.9,"Просьба перезвонить, суть проблемы не указана","пусть перезвонит оператор
перевести на оператора"
Крыша,0.95,Вода льет с крыши на этаж,"значит с крыши фонтаном вода льет на пятый этаж
Адреса Достаточно Советский Проспект Семьдесят Пять А Двадцать Четыре"
НЕЯСНО,0.3,"Фраза неразборчива, нет конкретной проблемы",ска скатывают это э а озон
Водоснабжение,0.7,Затопление квартиры обычно связано с водой,Ночью был вызов что затопляет квартиру
НЕЯСНО,0.95,"Нет конкретной проблемы, только недовольство диспетчером","записывайте по записывайте повнимательней заявку от какого дома вам дается заявка записались значит опять шесть или я не знаю что дом шесть а еще раз говорю до свидания
Нет Имя И Фамилию Называть Не Буду Я Не На Приеме У Следователя"
Водоотведение,0.7,"Упоминание люка, вероятно, канализации",ну знаете у меня под окошком канонизационный люк
Отопление,0.95,Упоминание отсутствия тепла по стояку,по стояку в наших квартирах нет тепла
Крыша,0.95,Упоминание протечки крыши во время дождя,Когда шли дожди у нас текла крыша
Отопление,0.95,Житель сообщает об отсутствии тепла,нет тепла в комнатах
Иное,0.6,Упоминание оставленной заявки без уточнения темы,я вам вчера оставляла заявку
Отопление,0.95,Житель сообщает об отсутствии тепла,Нет в квартире нет тепла
Водоотведение,0.8,"Затопление подвала, вероятно, связано с водоотведением",в доме это в подвал весь полностью затоплен Лесная 4а-1
НЕЯСНО,0.1,Только номер квартиры без проблемы,а квартира сорок восемь
Отопление,0.95,Житель сообщает об отсутствии тепла на стояке,нет тепла в доме тепло есть по нашему стояку нет тепла
Отопление,0.95,Житель сообщает об отсутствии тепла в комнате,В одной из комнат большой меч оплате вообще безобразие вообще нет тепла
Отопление,1.0,Житель сообщает об отсутствии тепла,нет тепла по всему дому
Водоснабжение,0.6,Залив соседей часто связан с водой,у нас мы мы залили соседей
Уборка уличная,0.9,Просьба очистить двор от снега/мусора,надо почистить двор поповича от комсомольской до нашего дома прочистили
Уборка уличная,0.9,Упоминание снега во дворе,во дворе оплатить здесь снег
Крыша,0.95,Упоминание протечки кровли в подъезде,записывайте срочно течет кровля в 4 подъезде
Водоснабжение,0.8,Колонка обычно относится к водоснабжению,у нас замерзла колонка
НЕЯСНО,0.9,"Просьба передать трубку, суть проблемы не указана",оператору пожалуйста дай трубочку
Иное,0.6,"Не указан тип протечки, требуется уточнение",ну у меня течет еще с осени я два раза
НЕЯСНО,0.9,"Нет описания проблемы, только просьба о соединении","хочу диспетчера поговорить
жду оператора"
Электроснабжение,0.9,Запрос ключа для доступа к электросчетчику,нужен ключ для доступа к электросчетчикусо созвонились дан тел Вологдакоммунэнерго
НЕЯСНО,0.9,"Просьба соединить с конкретным человеком, не заявка","телефончику
мне нужна любовь леонидовну ее голос живой"
ГВС,0.9,Полотенцесушитель относится к системе горячего водоснабжения,Течь полотенцесушителя в помещении библиотеки
НЕЯСНО,0.1,"Текст неразборчив, нет конкретной проблемы ЖКХ",возможно дышать зашипела все вообще квартира шипит опять это скачивает этот скачивание опять этого мобильного приложения озон сто восемь они опять подключили подпалы под этот подоконник
Иное,0.9,"Просьба отменить заявку, не связана с ЖКХ","отменить заявку
отменить заявку"
Электроснабжение,0.9,Замена электросчетчика относится к электроснабжению,замена электросчетчика пакет пакетник
Уборка уличная,0.9,Просьба очистить придомовую территорию,нужна чистка при домовой территории    Заявка передана
Отопление,0.95,Житель жалуется на отсутствие тепла,у вас случилось вы нихрена не делаете у меня тепла до сих пор нету
Ремонт,0.9,Заявка на ремонт после затопления из-за пробитого стояка,"Требуется сделать ремонт за счет  виновника затопления (кв. 1683)
В 16 подъезде на 16 этаже обсчитать стоимость ремонтных работ.
24.03.2026 собственником кв. 1683 был пробит стояк ливневой канализации и произошло подтопление 16 этажа."
Уборка уличная,0.9,Просьба сколоть лед у подъезда,"у четвертого подъезда у подвала налить нужно сколоть и сколоть лед около подъездов /2 под/ -заявка от кв,26"
Уборка уличная,0.9,Упоминание чистки двора и заваливания ливневки,сейчас погрузчик чистит наш двор с декабря месяца он заваливал левневку
НЕЯСНО,0.3,Фраза не содержит конкретной проблемы,и что я так и буду два дня это самое
Крыша,0.9,Упоминание работ на крыше и оголовка,установить на крыше.прикрутить оголовок.валяется на крыше.
Крыша,0.95,Житель сообщает о протечке с крыши,крыша течет по окну прямо все в комнату
Иное,0.95,"Просьба отменить заявку, не связана с аварией",мне нужно отменить заявку номер сорок пять шестьсот шестьдесят три
Электроснабжение,0.95,Упоминание пропажи напряжения в сети,пропало напряжение в сети сто двадцать вольт всего сто двадцать
Отопление,0.95,Житель сообщает об отсутствии тепла,так случилось нам тепло надо дать во всех домах есть тепло у нас у меня в тридцать третий и в нашей нет тепла
Иное,0.6,Не указана конкретная проблема ЖКХ,очень большой звук стоит на полдома
Отопление,0.95,Житель сообщает о нестабильной подаче тепла,"тепло дали на один час и опять вырубили
да я уже устала звонить сколько можно"
Иное,0.6,Не указана конкретная проблема или объект,внизу на северной стороне открыт
Отопление,0.95,Упоминание ожидания подачи тепла,"хочется узнать когда нам дадут тепло дело в том что у нас тут дом то ремонтируют
тепло будет вся заявка"
НЕЯСНО,0.9,"Нет конкретной проблемы, только отрицание",у меня ничего не случилось в подъезде
НЕЯСНО,0.9,Просьба соединить с диспетчером без указания проблемы,"с диспетчером соедините пожалуйста
хочу диспетчера услышать"
НЕЯСНО,0.9,Нет информации о проблеме,"да
так заявка уже есть девушка"
Водоотведение,0.95,Запах канализации из ванны,ванна воняет невозможно канализационными стоками
